iter	Logloss
0	0.681554028
1	0.6717059828
2	0.6607507031
3	0.6508186688
4	0.6419908497
5	0.633667992
6	0.6268190879
7	0.6203814767
8	0.6135828485
9	0.6075683449
10	0.6018020542
11	0.5962294097
12	0.5912790451
13	0.5864108522
14	0.5819870633
15	0.577916301
16	0.5736888762
17	0.5696079641
18	0.5660197767
19	0.562732214
20	0.5595702711
21	0.556085742
22	0.5529955623
23	0.5501710627
24	0.5470357694
25	0.5433652357
26	0.540471313
27	0.5382780208
28	0.5349978485
29	0.5323037852
30	0.5295422284
31	0.5277509626
32	0.5256848979
33	0.52354458
34	0.5213661689
35	0.5195459345
36	0.5178512761
37	0.5162642934
38	0.5141848297
39	0.5127934908
40	0.5108195381
41	0.5085003555
42	0.5064721173
43	0.5050755425
44	0.5036377964
45	0.5023733588
46	0.5013728824
47	0.4991601667
48	0.496654331
49	0.4953718116
50	0.4936863763
51	0.4916267297
52	0.490413733
53	0.4892611769
54	0.4881960134
55	0.486549716
56	0.4853876967
57	0.4834269914
58	0.4823572603
59	0.4813942083
60	0.4795357566
61	0.4776978742
62	0.4751965167
63	0.4741253382
64	0.4721273045
65	0.470076047
66	0.4688444831
67	0.4677678973
68	0.4662163325
69	0.4650036707
70	0.4640062749
71	0.4627177327
72	0.4607901365
73	0.4589872528
74	0.4577018095
75	0.4565102011
76	0.4548801134
77	0.4532837186
78	0.452484221
79	0.4512710448
80	0.4499124947
81	0.4487366094
82	0.4476361426
83	0.4460410761
84	0.4446862571
85	0.4431258762
86	0.441919493
87	0.4404055836
88	0.4393290149
89	0.4381210853
90	0.4368918249
91	0.4354344493
92	0.4343956993
93	0.433892918
94	0.4323827163
95	0.4312214434
96	0.4298484123
97	0.4285968725
98	0.4276055247
99	0.4266391401
